name,game_played_wr,opening_hand_wr,game_in_hand_wr
Undead Sprinter,0.5481127811052097,0.5892857142857143,0.5734312866482443
Glimmerlight,0.5630482744536208,0.5629840312521417,0.56718598583675
Sporogenic Infection,0.533326039653307,0.5375648589096595,0.5557725445146467
Bedhead Beastie,0.5176349588601245,0.490222421256904,0.5095695261690926
Hushwood Verge,0.5237403100775194,0.533134328358209,0.5320665083135392
Disturbing Mirth,0.5601300699453313,0.5788457826674387,0.5989759747932257
Floodfarm Verge,0.5444404462036704,0.5543241638630516,0.550210970464135
Meathook Massacre II,0.492176386913229,0.44265734265734263,0.49570871261378413
Sacrifice,0.4752475247524752,0.2972972972972973,0.4457831325301205
Murky Sewer,0.5260302677532014,0.5380150529404261,0.5385187744147113
Slavering Branchsnapper,0.5407574804660434,0.5181956380107343,0.5390856124123141
Horrid Vigor,0.5253744223595568,0.5174625801853172,0.5336941911577724
Ticket Booth // Tunnel of Hate,0.5417198730344047,0.5376676348804154,0.5507877495840267
Bear Trap,0.5154288884266001,0.5068381302306593,0.5147704253882511
Fear of Impostors,0.5337568963889227,0.5152061644397081,0.5385497277156779
Spectral Snatcher,0.519374636701971,0.4991656420165115,0.5240771330077564
Rootwise Survivor,0.5358210187401965,0.5292639514186996,0.5434819034852547
Hardened Escort,0.5410228600033372,0.5408690517198956,0.5354426002766252
Forest,0.5437196473784583,0.5464022579686162,0.539326660082505
Thornspire Verge,0.5418776057176891,0.5608149825066886,0.5428255664026524
Glimmer Seeker,0.5574766946882397,0.5866434117249916,0.5696132596685083
Orphans of the Wheat,0.5403518876592477,0.547030080928386,0.5322664993201548
Island,0.5455764096357604,0.5461519602461926,0.5456523807530266
Hedge Shredder,0.5250594807075618,0.5270100502512562,0.5289919714540589
Fear of Missing Out,0.5660240793701232,0.598545036852685,0.5988562091503268
Abandoned Campground,0.5464442738502338,0.559672131147541,0.5475939727802981
"Toby, Beastie Befriender",0.5706602337215511,0.6254602253709696,0.6133653846153846
Beastie Beatdown,0.5531402303943288,0.5536675639300135,0.5780304289003346
Glimmerburst,0.555389534819688,0.5541351079199685,0.5752430286352057
Unidentified Hovership,0.5658714543367765,0.6043996110841031,0.608061013182484
Unstoppable Slasher,0.5581694016919784,0.636634913347871,0.6152906922137691
Valgavoth's Faithful,0.5242862327607065,0.5109635712413733,0.5392237524593096
Vicious Clown,0.5514286099901475,0.543162872715614,0.5379122627169571
Fear of Lost Teeth,0.5299983403407834,0.5387419165196943,0.5420443475820166
Manifest Dread,0.5506298425310072,0.5593592066367884,0.5623699785515006
Moldering Gym // Weight Room,0.5305634418570353,0.5340084643288996,0.542219503975436
